timestamp,amp_0,amp_1,amp_2,amp_3,amp_4,amp_5,amp_6,amp_7,amp_8,amp_9,amp_10,amp_11,amp_12,amp_13,amp_14,amp_15,amp_16,amp_17,amp_18,amp_19,amp_20,amp_21,amp_22,amp_23,amp_24,amp_25,amp_26,amp_27,amp_28,amp_29,amp_30,amp_31,amp_32,amp_33,amp_34,amp_35,amp_36,amp_37,amp_38,amp_39,amp_40,amp_41,amp_42,amp_43,amp_44,amp_45,amp_46,amp_47,amp_48,amp_49,amp_50,amp_51,rssi_dbm
1776702479.917229,0.89456703,0.89134793,0.87354386,0.84466351,0.80948180,0.77576211,0.73390623,0.69190519,0.64884142,0.63705054,0.66500283,0.70335465,0.73973698,0.77545171,0.79636602,0.81162949,0.81557213,0.81374161,0.80523672,0.78688436,0.77205894,0.42866773,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.40216547,0.71900371,0.70484874,0.68562305,0.65663256,0.62267580,0.56503896,0.51500161,0.49472567,0.55635205,0.62628593,0.69476535,0.74201289,0.78276303,0.81170789,0.82912133,0.83777088,0.83452648,0.83804047,0.83715858,0.81606169,0.77750569,-45.0000
1776702479.966774,0.93983173,0.92856312,0.90328044,0.86717515,0.81939792,0.78035085,0.74392624,0.72501588,0.71678721,0.74350939,0.77196575,0.80052759,0.82451787,0.84259364,0.85859714,0.86308915,0.85940678,0.84967988,0.83249745,0.81440677,0.79870175,0.48757265,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.45150248,0.77679003,0.76531505,0.74455414,0.70695468,0.66132371,0.58656695,0.49705093,0.51023846,0.60582573,0.69613012,0.76374636,0.81750328,0.85210487,0.87584475,0.89037295,0.89437287,0.89056689,0.88431185,0.87656644,0.85256361,0.80184812,-44.0000
1776702480.025337,0.83366018,0.81254129,0.78914284,0.76187788,0.75165443,0.74475288,0.73825923,0.73382100,0.73629418,0.74076961,0.74863069,0.75161837,0.76059863,0.77851759,0.78269813,0.78540152,0.78012931,0.77361765,0.75238186,0.74075073,0.73051972,0.41270218,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.31301829,0.60479914,0.58920734,0.56533655,0.55328926,0.52610691,0.55577123,0.60481691,0.64978541,0.69430681,0.73038037,0.76100743,0.78507653,0.79290712,0.79731884,0.79167296,0.77592384,0.75243681,0.72956518,0.72137819,0.71669094,0.71009707,-46.0000
1776702480.080667,0.83958182,0.84199382,0.83436355,0.81378087,0.79561663,0.78275047,0.76302466,0.74770594,0.72538513,0.70803925,0.70232958,0.69277026,0.70773340,0.73754049,0.76259689,0.78036745,0.78571635,0.79367509,0.79483022,0.79006705,0.78772822,0.45314887,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.32540160,0.64597687,0.64451688,0.63701960,0.61829618,0.60572116,0.59427211,0.59140836,0.59014046,0.60364493,0.63012715,0.67006842,0.70110370,0.72286580,0.73926155,0.75817031,0.76654627,0.76572628,0.77557453,0.77807930,0.77673065,0.76289134,-44.0000
1776702480.126484,0.87578375,0.87297256,0.86310955,0.84039999,0.81024554,0.77814433,0.73360060,0.68909260,0.64070189,0.60940417,0.62281100,0.65066974,0.69825266,0.73616970,0.76292259,0.77761164,0.78600112,0.78610249,0.77776182,0.76494691,0.75027619,0.42647956,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.36071918,0.70487014,0.70096463,0.69080794,0.66148332,0.63447237,0.59948610,0.53110751,0.47019946,0.47381541,0.53994385,0.62248539,0.69025241,0.73826531,0.77164184,0.79351560,0.81356621,0.81720225,0.82780648,0.82716897,0.81609998,0.78809417,-44.0000
1776702480.186584,0.93691405,0.92844603,0.91097926,0.87731061,0.84043405,0.80325058,0.76874959,0.74350566,0.72395155,0.74008386,0.76771955,0.79158590,0.82024488,0.84132883,0.86120523,0.86463634,0.86339703,0.85569971,0.84678731,0.83147777,0.81561639,0.48350730,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.42666734,0.75806176,0.74696548,0.71980998,0.68390441,0.62364458,0.56260603,0.49190248,0.47791947,0.55572279,0.66469721,0.74106539,0.79539836,0.82857557,0.85427905,0.86937851,0.87716707,0.87509473,0.86999936,0.86557925,0.83814201,0.79849298,-45.0000
1776702480.234986,0.90679190,0.91042546,0.90516716,0.88204940,0.86049186,0.84284184,0.82064450,0.79726556,0.76331096,0.74394939,0.73385694,0.73588880,0.75625358,0.78682793,0.81018926,0.83000909,0.83930409,0.84327296,0.84696454,0.84500210,0.84086175,0.50164061,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.39711925,0.70058650,0.69112598,0.66894555,0.64013541,0.62046936,0.60141308,0.60060560,0.61599639,0.65432950,0.69412952,0.73129452,0.76902820,0.79830669,0.81522166,0.82644835,0.83176355,0.83524585,0.83734029,0.83648296,0.82908996,0.80569963,-46.0000
1776702480.284265,0.88439722,0.89243984,0.89263173,0.87514585,0.86520547,0.85402717,0.83512879,0.81152089,0.78119591,0.75277185,0.72100163,0.68308125,0.69131047,0.73673382,0.77049676,0.79675700,0.81107573,0.82395785,0.83081706,0.83142408,0.83014531,0.49863799,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.38334978,0.70515928,0.70103070,0.69028742,0.67890209,0.65779422,0.63797602,0.62120805,0.62306902,0.63676396,0.66190560,0.70352715,0.74125381,0.77027799,0.78946064,0.80989172,0.81608372,0.82435612,0.83287460,0.84254589,0.84208792,0.82849614,-46.0000
1776702480.345118,0.87725476,0.89366638,0.89582089,0.88127965,0.86636494,0.85139775,0.82284252,0.78050311,0.72319754,0.63474046,0.47771611,0.25810781,0.46863447,0.61173753,0.69863626,0.75448755,0.78328903,0.80485028,0.81689377,0.82144232,0.81938913,0.48651278,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.41038665,0.72536178,0.72380963,0.71254208,0.69033203,0.66542283,0.61927555,0.55481769,0.46199542,0.35357959,0.40645855,0.56085226,0.65391610,0.71879224,0.76498552,0.79708377,0.81876284,0.83691472,0.85116961,0.86364400,0.86141427,0.84325053,-44.0000
1776702480.397460,0.88066693,0.89230253,0.88848473,0.87145336,0.85066073,0.83238995,0.79557718,0.74588354,0.66719143,0.55940534,0.37287762,0.33146182,0.53128501,0.64992539,0.71705288,0.76248113,0.78611713,0.80035513,0.80586138,0.80179420,0.79657703,0.47288763,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.41816498,0.72902753,0.72722778,0.71537462,0.68871417,0.66723967,0.62133599,0.56141499,0.49165559,0.46361815,0.52641639,0.61402398,0.68186393,0.73898906,0.78076047,0.80910294,0.82555844,0.84213496,0.85348824,0.86121384,0.85829689,0.84045240,-46.0000
